
 LIST ALL SELECTED NODES.   DSYS=      a

   NODE        X           Y           Z         THXY    THYZ    THZX
      170   -13.574     -1.7871      20.918        0.00    0.00    0.00
      171   -13.225     -3.5436      20.918        0.00    0.00    0.00
      172   -12.649     -5.2395      20.918        0.00    0.00    0.00
      173   -11.857     -6.8457      20.918        0.00    0.00    0.00
      174   -10.862     -8.3348      20.918        0.00    0.00    0.00
      175   -9.6813     -9.6813      20.918        0.00    0.00    0.00
      176   -8.3348     -10.862      20.918        0.00    0.00    0.00
      177   -6.8457     -11.857      20.918        0.00    0.00    0.00
      178   -5.2395     -12.649      20.918        0.00    0.00    0.00
      179   -3.5436     -13.225      20.918        0.00    0.00    0.00
      180   -1.7871     -13.574      20.918        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      181    0.0000     -13.691      20.918        0.00    0.00    0.00
      182    1.7871     -13.574      20.918        0.00    0.00    0.00
      183    3.5436     -13.225      20.918        0.00    0.00    0.00
      184    5.2395     -12.649      20.918        0.00    0.00    0.00
      185    6.8457     -11.857      20.918        0.00    0.00    0.00
      186    8.3348     -10.862      20.918        0.00    0.00    0.00
      187    9.6813     -9.6813      20.918        0.00    0.00    0.00
      188    10.862     -8.3348      20.918        0.00    0.00    0.00
      189    11.857     -6.8457      20.918        0.00    0.00    0.00
      190    12.649     -5.2395      20.918        0.00    0.00    0.00
      191    13.225     -3.5436      20.918        0.00    0.00    0.00
      192    13.574     -1.7871      20.918        0.00    0.00    0.00
      193    11.180      0.0000      22.361        0.00    0.00    0.00
      194    11.085      1.4593      22.361        0.00    0.00    0.00
      195    10.799      2.8937      22.361        0.00    0.00    0.00
      196    10.329      4.2785      22.361        0.00    0.00    0.00
      197    9.6824      5.5902      22.361        0.00    0.00    0.00
      198    8.8699      6.8061      22.361        0.00    0.00    0.00
      199    7.9057      7.9057      22.361        0.00    0.00    0.00
      200    6.8061      8.8699      22.361        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      201    5.5902      9.6824      22.361        0.00    0.00    0.00
      202    4.2785      10.329      22.361        0.00    0.00    0.00
      203    2.8937      10.799      22.361        0.00    0.00    0.00
      204    1.4593      11.085      22.361        0.00    0.00    0.00
      205    0.0000      11.180      22.361        0.00    0.00    0.00
      206   -1.4593      11.085      22.361        0.00    0.00    0.00
      207   -2.8937      10.799      22.361        0.00    0.00    0.00
      208   -4.2785      10.329      22.361        0.00    0.00    0.00
      209   -5.5902      9.6824      22.361        0.00    0.00    0.00
      210   -6.8061      8.8699      22.361        0.00    0.00    0.00
      211   -7.9057      7.9057      22.361        0.00    0.00    0.00
      212   -8.8699      6.8061      22.361        0.00    0.00    0.00
      213   -9.6824      5.5902      22.361        0.00    0.00    0.00
      214   -10.329      4.2785      22.361        0.00    0.00    0.00
      215   -10.799      2.8937      22.361        0.00    0.00    0.00
      216   -11.085      1.4593      22.361        0.00    0.00    0.00
      217   -11.180      0.0000      22.361        0.00    0.00    0.00
      218   -11.085     -1.4593      22.361        0.00    0.00    0.00
      219   -10.799     -2.8937      22.361        0.00    0.00    0.00
      220   -10.329     -4.2785      22.361        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      221   -9.6824     -5.5902      22.361        0.00    0.00    0.00
      222   -8.8699     -6.8061      22.361        0.00    0.00    0.00
      223   -7.9057     -7.9057      22.361        0.00    0.00    0.00
      224   -6.8061     -8.8699      22.361        0.00    0.00    0.00
      225   -5.5902     -9.6824      22.361        0.00    0.00    0.00
      226   -4.2785     -10.329      22.361        0.00    0.00    0.00
      227   -2.8937     -10.799      22.361        0.00    0.00    0.00
      228   -1.4593     -11.085      22.361        0.00    0.00    0.00
      229    0.0000     -11.180      22.361        0.00    0.00    0.00
      230    1.4593     -11.085      22.361        0.00    0.00    0.00
      231    2.8937     -10.799      22.361        0.00    0.00    0.00
      232    4.2785     -10.329      22.361        0.00    0.00    0.00
      233    5.5902     -9.6824      22.361        0.00    0.00    0.00
      234    6.8061     -8.8699      22.361        0.00    0.00    0.00
      235    7.9057     -7.9057      22.361        0.00    0.00    0.00
      236    8.8699     -6.8061      22.361        0.00    0.00    0.00
      237    9.6824     -5.5902      22.361        0.00    0.00    0.00
      238    10.329     -4.2785      22.361        0.00    0.00    0.00
      239    10.799     -2.8937      22.361        0.00    0.00    0.00
      240    11.085     -1.4593      22.361        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      241    8.5192      0.0000      23.504        0.00    0.00    0.00
      242    8.4463      1.1120      23.504        0.00    0.00    0.00
      243    8.2289      2.2049      23.504        0.00    0.00    0.00
      244    7.8707      3.2602      23.504        0.00    0.00    0.00
      245    7.3779      4.2596      23.504        0.00    0.00    0.00
      246    6.7588      5.1862      23.504        0.00    0.00    0.00
      247    6.0240      6.0240      23.504        0.00    0.00    0.00
      248    5.1862      6.7588      23.504        0.00    0.00    0.00
      249    4.2596      7.3779      23.504        0.00    0.00    0.00
      250    3.2602      7.8707      23.504        0.00    0.00    0.00
      251    2.2049      8.2289      23.504        0.00    0.00    0.00
      252    1.1120      8.4463      23.504        0.00    0.00    0.00
      253    0.0000      8.5192      23.504        0.00    0.00    0.00
      254   -1.1120      8.4463      23.504        0.00    0.00    0.00
      255   -2.2049      8.2289      23.504        0.00    0.00    0.00
      256   -3.2602      7.8707      23.504        0.00    0.00    0.00
      257   -4.2596      7.3779      23.504        0.00    0.00    0.00
      258   -5.1862      6.7588      23.504        0.00    0.00    0.00
      259   -6.0240      6.0240      23.504        0.00    0.00    0.00
      260   -6.7588      5.1862      23.504        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      261   -7.3779      4.2596      23.504        0.00    0.00    0.00
      262   -7.8707      3.2602      23.504        0.00    0.00    0.00
      263   -8.2289      2.2049      23.504        0.00    0.00    0.00
      264   -8.4463      1.1120      23.504        0.00    0.00    0.00
      265   -8.5192      0.0000      23.504        0.00    0.00    0.00
      266   -8.4463     -1.1120      23.504        0.00    0.00    0.00
      267   -8.2289     -2.2049      23.504        0.00    0.00    0.00
      268   -7.8707     -3.2602      23.504        0.00    0.00    0.00
      269   -7.3779     -4.2596      23.504        0.00    0.00    0.00
      270   -6.7588     -5.1862      23.504        0.00    0.00    0.00
      271   -6.0240     -6.0240      23.504        0.00    0.00    0.00
      272   -5.1862     -6.7588      23.504        0.00    0.00    0.00
      273   -4.2596     -7.3779      23.504        0.00    0.00    0.00
      274   -3.2602     -7.8707      23.504        0.00    0.00    0.00
      275   -2.2049     -8.2289      23.504        0.00    0.00    0.00
      276   -1.1120     -8.4463      23.504        0.00    0.00    0.00
      277    0.0000     -8.5192      23.504        0.00    0.00    0.00
      278    1.1120     -8.4463      23.504        0.00    0.00    0.00
      279    2.2049     -8.2289      23.504        0.00    0.00    0.00
      280    3.2602     -7.8707      23.504        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      281    4.2596     -7.3779      23.504        0.00    0.00    0.00
      282    5.1862     -6.7588      23.504        0.00    0.00    0.00
      283    6.0240     -6.0240      23.504        0.00    0.00    0.00
      284    6.7588     -5.1862      23.504        0.00    0.00    0.00
      285    7.3779     -4.2596      23.504        0.00    0.00    0.00
      286    7.8707     -3.2602      23.504        0.00    0.00    0.00
      287    8.2289     -2.2049      23.504        0.00    0.00    0.00
      288    8.4463     -1.1120      23.504        0.00    0.00    0.00
      289    5.7438      0.0000      24.331        0.00    0.00    0.00
      290    5.6947     0.74972      24.331        0.00    0.00    0.00
      291    5.5481      1.4866      24.331        0.00    0.00    0.00
      292    5.3066      2.1981      24.331        0.00    0.00    0.00
      293    4.9743      2.8719      24.331        0.00    0.00    0.00
      294    4.5569      3.4966      24.331        0.00    0.00    0.00
      295    4.0615      4.0615      24.331        0.00    0.00    0.00
      296    3.4966      4.5569      24.331        0.00    0.00    0.00
      297    2.8719      4.9743      24.331        0.00    0.00    0.00
      298    2.1981      5.3066      24.331        0.00    0.00    0.00
      299    1.4866      5.5481      24.331        0.00    0.00    0.00
      300   0.74972      5.6947      24.331        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      301    0.0000      5.7438      24.331        0.00    0.00    0.00
      302  -0.74972      5.6947      24.331        0.00    0.00    0.00
      303   -1.4866      5.5481      24.331        0.00    0.00    0.00
      304   -2.1981      5.3066      24.331        0.00    0.00    0.00
      305   -2.8719      4.9743      24.331        0.00    0.00    0.00
      306   -3.4966      4.5569      24.331        0.00    0.00    0.00
      307   -4.0615      4.0615      24.331        0.00    0.00    0.00
      308   -4.5569      3.4966      24.331        0.00    0.00    0.00
      309   -4.9743      2.8719      24.331        0.00    0.00    0.00
      310   -5.3066      2.1981      24.331        0.00    0.00    0.00
      311   -5.5481      1.4866      24.331        0.00    0.00    0.00
      312   -5.6947     0.74972      24.331        0.00    0.00    0.00
      313   -5.7438      0.0000      24.331        0.00    0.00    0.00
      314   -5.6947    -0.74972      24.331        0.00    0.00    0.00
      315   -5.5481     -1.4866      24.331        0.00    0.00    0.00
      316   -5.3066     -2.1981      24.331        0.00    0.00    0.00
      317   -4.9743     -2.8719      24.331        0.00    0.00    0.00
      318   -4.5569     -3.4966      24.331        0.00    0.00    0.00
      319   -4.0615     -4.0615      24.331        0.00    0.00    0.00
      320   -3.4966     -4.5569      24.331        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      321   -2.8719     -4.9743      24.331        0.00    0.00    0.00
      322   -2.1981     -5.3066      24.331        0.00    0.00    0.00
      323   -1.4866     -5.5481      24.331        0.00    0.00    0.00
      324  -0.74972     -5.6947      24.331        0.00    0.00    0.00
      325    0.0000     -5.7438      24.331        0.00    0.00    0.00
      326   0.74972     -5.6947      24.331        0.00    0.00    0.00
      327    1.4866     -5.5481      24.331        0.00    0.00    0.00
      328    2.1981     -5.3066      24.331        0.00    0.00    0.00
      329    2.8719     -4.9743      24.331        0.00    0.00    0.00
      330    3.4966     -4.5569      24.331        0.00    0.00    0.00
      331    4.0615     -4.0615      24.331        0.00    0.00    0.00
      332    4.5569     -3.4966      24.331        0.00    0.00    0.00
      333    4.9743     -2.8719      24.331        0.00    0.00    0.00
      334    5.3066     -2.1981      24.331        0.00    0.00    0.00
      335    5.5481     -1.4866      24.331        0.00    0.00    0.00
      336    5.6947    -0.74972      24.331        0.00    0.00    0.00
      337    2.8913      0.0000      24.832        0.00    0.00    0.00
      338    2.8666     0.37739      24.832        0.00    0.00    0.00
      339    2.7928     0.74833      24.832        0.00    0.00    0.00
      340    2.6712      1.1065      24.832        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
      341    2.5039      1.4457      24.832        0.00    0.00    0.00
      342    2.2938      1.7601      24.832        0.00    0.00    0.00
      343    2.0445      2.0445      24.832        0.00    0.00    0.00
      344    1.7601      2.2938      24.832        0.00    0.00    0.00
      345    1.4457      2.5039      24.832        0.00    0.00    0.00
      346    1.1065      2.6712      24.832        0.00    0.00    0.00
      347   0.74833      2.7928      24.832        0.00    0.00    0.00
      348   0.37739      2.8666      24.832        0.00    0.00    0.00
      349    0.0000      2.8913      24.832        0.00    0.00    0.00
      350  -0.37739      2.8666      24.832        0.00    0.00    0.00
      351  -0.74833      2.7928      24.832        0.00    0.00    0.00
